Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Sep,1973,0,44.28,187.5,69,44.87,33.5,35.8,66.5,54.4,258.63
Oct,1973,0,29.01,127.5,37,29.59,27.5,32.4,27,57,216.12
Nov,1973,0,0.69,8,0,0.73,0,4.9,0.2,3.5,159.27
Dic,1973,0,0,7,0,0,0,0,0,0,152.36
Ene,1974,0,5.84,2,10,5.88,4,2.2,13.4,1.5,132.89
Feb,1974,0,0,0,0,0,0,0,0,0,146.66
Mar,1974,0,25.46,84.5,23,25.89,33.5,33.1,40.5,31.2,206.15
Jul,1974,0,80.04,93,113,81.17,102.5,92.3,82.2,108.6,572.62
Ago,1974,0,2.78,5,0,2.8,14,11.1,0,0,390.32
Sep,1974,0,102.05,252.5,113,103.94,116.5,137.7,122.1,167.1,297.87
Oct,1974,0,6.62,26,10,6.74,9,8.5,1.2,14,272.98
Nov,1974,0,0.3,0,0,0.3,1.5,1,0,0,284.52
Dic,1974,21,15.43,4.5,11,15.4,11.5,13.1,15.2,18.3,501.25
Ene,1975,0,6.92,0,0,7.1,12,14.8,10.3,12.8,280.92
Feb,1975,0,4.28,9,0,4.41,6.5,6.5,5.1,10.3,206
May,1975,0,109.09,69.5,316,109.16,63,60.7,95.2,77.3,430.09
Jun,1975,0,44.34,75,59.5,44.8,84,67.4,40.8,39.7,403.07
Jul,1975,0,136.56,408,173.5,138.52,183.5,187.7,164.2,169.7,327.66
Ago,1975,46,61.97,109,69,62.33,38.5,30.1,79.2,78.2,233.72
Sep,1975,0,109.79,317,189,111.2,116.5,116.8,96,157.5,235.92
Oct,1975,0,53.07,65,64,53.79,90,79.5,52.8,62,235.76
Nov,1975,0,0.96,80,0,1,12.29,15.53,1,3,217.09
Dic,1975,0,4.03,2,5,4.09,3.6,4.2,6.6,5.1,231.19
Ene,1976,0,7.04,3.5,7,7.18,7.5,9.1,9,12.3,369.88
Feb,1976,0,0,3,0,0,0,0,0,0,266.64
Mar,1976,0,6.25,20.5,7,6.35,8.5,17,8,8.1,656.89
Abr,1976,42,83.68,116,78,84.47,82.5,108.7,118.4,98.8,306.1
May,1976,0,46.21,104,73,46.73,47.3,61.4,66.8,45.5,216.48
Jun,1976,0,42.25,137.5,59.5,42.75,64.2,56.7,45.1,44.8,193.83
Jul,1976,0,261.31,501,189,266.53,404,321.9,322.6,410.2,166.27
Ago,1976,68,32.86,80.5,13,32.49,26.6,31.8,20.1,35.4,157.3
Sep,1976,0,40.3,400,82,40.69,36.5,34.9,44.9,86.78,138.17
Oct,1976,0,14.38,34.5,20,14.65,3.3,27.6,25,24.5,137.48
Nov,1976,0,39.74,101,62,40.24,49,46.6,40,50.6,298.31
Dic,1976,0,10.63,19.5,5,10.86,19,18.2,12.4,17.6,388.38
Ene,1977,0,3.16,7.5,5,3.21,2,4.4,4.5,4.5,572.06
Feb,1977,0,0.04,10.5,0,0.04,0,0.2,0,0.2,257.91
Mar,1977,0,0.15,4,0,0.16,0,1,0,0.8,239.92
Abr,1977,41,54.5,187,72,54.68,31.5,44,66.5,62.2,155.35
May,1977,0,72.49,249,65,73.54,131.5,122.7,95.7,72.8,310.12
Jun,1977,0,47.62,99.5,76,48.15,67,67.7,44,54.4,189.09
Jul,1977,0,18.7,20.5,41,18.89,12,19.3,15.7,26.6,157.69
Ago,1977,42.5,47.22,136.5,88,47.02,26.9,32.3,34.4,45.4,156.45
